片名,上映年份,评分,评价人数,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长
血钻,2006,8.7,374986,爱德华·兹威克,查尔斯·里维特,莱昂纳多·迪卡普里奥 / 杰曼·翰苏 / 詹妮弗·康纳利 / 阿诺德·沃斯洛 / 大卫·哈雷伍德 / 吉米·米斯特雷 / 麦克·辛 / 史蒂芬·柯林斯,剧情 / 惊悚 / 冒险,美国 / 德国 / 英国,英语 / 门德语 / 南非语,2006-12-08(美国),143 分钟
房间,2015,8.8,364679,伦尼·阿伯拉罕森,艾玛·多诺霍,布丽·拉尔森 / 雅各布·特伦布莱 / 肖恩·布里吉格斯 / 温迪·古逊 / 阿曼达·布鲁盖尔 / 乔·平格 / 琼·艾伦 / 卡斯·安瓦尔 / 威廉姆·H·梅西 / 兰道尔·爱德华 / 罗德里戈·费尔南德斯-斯托尔 / 罗里·奥谢 / 汤姆·麦卡穆斯 / 杰克·富尔顿 / 梅根·帕克,剧情 / 家庭,爱尔兰 / 加拿大 / 英国 / 美国,英语,2015-09-04(特柳赖德电影节) / 2015-10-23(多伦多) / 2016-01-15(爱尔兰/英国) / 2016-01-22(美国),118分钟
战争之王,2005,8.7,363468,安德鲁·尼科尔,安德鲁·尼科尔,尼古拉斯·凯奇 / 布里吉特·莫伊纳汉 / 杰瑞德·莱托 / 伊安·霍姆 / 伊桑·霍克 / 埃夫吉恩尼·拉扎雷夫 / 伊默恩·沃克 / 塔尼特·菲尼克斯,剧情 / 犯罪,法国 / 德国 / 美国,英语 / 乌克兰语 / 德语 / 西班牙语 / 俄语 / 法语 / 阿拉伯语 / 土耳其语,2005-09-16(美国),122 分钟
步履不停,2008,8.8,275572,是枝裕和,是枝裕和,阿部宽 / 夏川结衣 / 江原由希子 / 高桥和也 / 田中祥平 / 野本萤 / 林凌雅 / 寺岛进 / 加藤治子 / 树木希林 / 原田芳雄,剧情 / 家庭,日本,日语,2008-06-28(日本),115分钟
魂断蓝桥,1940,8.8,274831,茂文·勒鲁瓦,塞缪尔·N·贝尔曼 / 汉斯·拉莫 / 乔治·弗罗斯切尔 / 罗伯特·E·舍伍德,费雯·丽 / 罗伯特·泰勒 / 露塞尔·沃特森 / 弗吉尼亚·菲尔德 / 玛丽亚·彭斯卡娅 / C.奥布雷·史密斯 / Janet Shaw / Janet Waldo / Steffi Duna / Virginia Carroll / Eleanor Stewart / Lowden Adams / Harry Allen / Jimmy Aubrey / Phyllis Barry / Colin Campbell / 丽塔·卡莱尔 / 里奥.G.卡罗尔 / 戴维·卡文迪什 / 大卫·克莱德 / 汤姆·康威 / Frank Dawson / Connie Emerald / Gilbert Emery / 赫伯特·埃文斯 / 迪克·戈登 / Denis Green / 艾塞尔·格里菲斯 / Bobby Hale / Winifred Harris / 哈利韦尔·霍布斯 / Harold Howard / Charles Irwin / George Kirby / Walter Lawrence / 威尔弗雷德·卢卡斯 / Dan Maxwell / James May / Florine McKinney / Charles McNaughton / Frank Mitchell / 埃德蒙·莫蒂默 / 伦纳德米迪 / 坦普·皮戈特 / John Power / Clara Reid / Paul Scardon / 约翰·格雷厄姆·斯佩西 / Wyndham Standing / 哈里·斯塔布斯 / Cyril Thornton / 戴维·瑟斯比 / 诺玛·威登 / 帕特·威尔士 / 玛莎·温特沃思 / Frank Whitbeck / Eric Wilton / 罗伯特·温克勒 / 道格拉斯·伍德,剧情 / 爱情 / 战争,美国,英语 / 法语,1940-05-17(美国),108分钟
芙蓉镇,1987,9.3,132323,谢晋,阿城 / 谢晋,刘晓庆 / 姜文 / 郑在石 / 张光北 / 徐松子 / 祝士彬 / 刘利年,剧情 / 爱情,中国大陆,汉语普通话,1987-03-05(中国大陆上海首映),164 分钟
火星救援,2015,8.5,715853,雷德利·斯科特,德鲁·戈达德 / 安迪·威尔,马特·达蒙 / 杰西卡·查斯坦 / 克里斯汀·韦格 / 杰夫·丹尼尔斯 / 迈克尔·佩纳 / 凯特·玛拉 / 肖恩·宾 / 塞巴斯蒂安·斯坦 / 唐纳德·格洛弗 / 切瓦特·埃加福 / 阿卡塞尔·亨涅 / 陈数 / 高雄 / 本尼迪克特·黄 / 麦肯兹·戴维斯 / 娜奥米·斯科特 / 丽丽·博尔丹 / 布莱恩·卡斯佩,剧情 / 科幻 / 冒险,英国 / 美国 / 匈牙利 / 约旦,英语 / 汉语普通话,2015-11-25(中国大陆) / 2015-10-02(美国),142分钟 / 151分钟(加长版)
哈利·波特与死亡圣器(上),2010,8.5,562783,大卫·叶茨,史蒂夫·克洛夫斯 / J. K. 罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 拉尔夫·费因斯 / 比尔·奈伊 / 约翰·赫特 / 艾伦·瑞克曼 / 艾美达·斯丹顿 / 费奥纳·肖 / 邦妮·怀特 / 朱丽·沃特斯 / 米歇尔·费尔利 / 杰米·坎贝尔·鲍尔,奇幻 / 冒险,英国 / 美国,英语,2010-11-19(中国大陆/英国),146分钟
千年女优,2001,8.8,262009,今敏,今敏 / 村井贞之,庄司美代子 / 小山茉美 / 折笠富美子 / 饭塚昭三 / 小野坂昌也 / 津田匠子 / 铃置洋孝 / 京田尚子 / 德丸完 / 片冈富枝 / 石森达幸 / 佐藤政道 / 小形满 / 麻生智久 / 游佐浩二 / 肥后诚 / 坂口候一 / 志村知幸 / 木村亚希子 / 佐伯志 / 野岛裕史 / 浅野琉璃 / 大中宽子 / 园部好德 / 大黑优美子 / 山寺宏一 / 津嘉山正种,剧情 / 爱情 / 动画,日本,日语,2001-07-28(加拿大奇幻电影节) / 2002-09-14(日本),87 分钟
谍影重重2,2004,8.7,347365,保罗·格林格拉斯,罗伯特·鲁德鲁姆 / 托尼·吉尔罗伊,马特·达蒙 / 布莱恩·考克斯 / 琼·艾伦 / 卡尔·厄本 / 弗朗卡·波滕特 / 朱丽娅·斯蒂尔斯 / 加布里埃尔·曼 / 马尔顿·索克斯 / 汤姆·加洛普 / 约翰·贝德福德·劳埃德 / 伊桑·桑德勒 / 米歇尔·莫纳汉 / 卡瑞尔·罗登 / 托马斯·阿拉纳 / 奥莎娜·阿金什那 / Yevgeni Sitokhin / 蒂姆·格里芬 / 肖恩·史密斯 / 马克西姆·科瓦莱夫斯基 / 帕特里克·克劳利 / 乔恩·科林·巴克利 / 谢恩·辛努特科 / Claudio Maniscalco / Dirk Schoedon / 伊万·舍甫多夫 / 丹尼斯·布尔加兹列夫 / Nick Wilder / 维克多·埃菲尔 / 埃莱娜·卡多纳 / 克里斯·库珀,动作 / 悬疑 / 惊悚,www.thebournesupremacy.com,美国 / 德国,英语 / 俄语 / 德语 / 意大利语,2004-11-14(中国大陆) / 2004-07-15(洛杉矶首映) / 2004-07-23(美国)
阿飞正传,1990,8.5,504564,王家卫,王家卫,张国荣 / 张曼玉 / 刘嘉玲 / 刘德华 / 张学友 / 潘迪华 / 梁朝伟,剧情 / 爱情 / 犯罪,中国香港,粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,2018-06-25(中国大陆) / 1990-12-15(中国香港),94分钟
